Start Index|Event Name|Start Time|Elapsed Time|Workbook|Worksheet|Dashboard|DataSource Name|CacheHit|Command|Action Name|Command Name|DataEngine API|Dialog Name|Task Name|Job Name|Processor Time Inclusive|Processor Time Exclusive|User Time Inclusive|User Time Exclusive|ContextId|ThreadID|Depth|Path|Level0|Level1|Level2|Level3|Level4|Level5|Level6|Level7|Level8|Level9|Level10|Level11|Level12|Level13|Level14|Level15|Level16|Level17|Level18|Level19|Session ID|Request ID|URL|XML Size|XML Text
17|Action|1559.406732800|0.000204700|initial||||||AutoBrushingAction|tabui:record-perf||||RecordPerformanceJob|0.000|0.000|0.000|0.000|5183|14648|11|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.Action.Action|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|Action|Action||||||||||||||
18|Action|1559.405266800|0.001707100|initial||||||OnSelectAction|tabui:record-perf||||RecordPerformanceJob|0.001|0.001|0.000|0.000|5183|14648|10|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.Action|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|Action|||||||||||||||
19|async-task.task-tbb|1559.443224800|0.000702300|||||||||||||0.000|0.000|0.000|0.000|5196|3248|4|RenderActive.Task.async-task.task-tbb|RenderActive|Task|async-task|task-tbb|||||||||||||||||||||
20|Task|1559.443207800|0.000724200|||||||||||||0.000|0.000|0.000|0.000|5196|3248|2|RenderActive.Task|RenderActive|Task|||||||||||||||||||||||
21|RenderActive|1559.442575600|0.024057000|||||||||||||0.024|0.024|0.000|0.000|||1|RenderActive|RenderActive||||||||||||||||||||||||
22|Workspace_UpdateThumbnailUI|1559.545872400|0.003885600||||||||||||View thumbnail job|0.003|0.003|0.000|0.000|5200|14648|5|RenderActive.JobManager.async-task.task-job.Workspace_UpdateThumbnailUI|RenderActive|JobManager|async-task|task-job|Workspace_UpdateThumbnailUI||||||||||||||||||||
23|async-task.task-job|1559.539996900|0.010303100||||||||||||View thumbnail job|0.010|0.006|0.000|0.000|5200|14648|4|RenderActive.JobManager.async-task.task-job|RenderActive|JobManager|async-task|task-job|||||||||||||||||||||
24|JobManager|1559.539983700|0.010318800||||||||||||View thumbnail job|0.010|0.000|0.000|0.000|5200|14648|2|RenderActive.JobManager|RenderActive|JobManager|||||||||||||||||||||||
25|restrict|1559.551505700|0.000007400||||||||tabui:record-perf||||RecordPerformanceJob|0.000|0.000|0.000|0.000|5183|14648|14|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.Workspace_DoViewStatisticsChanged.SummaryStatisticsBuilder.ComputeTables_PageNumber.vizqlevaluator.restrict|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|Workspace_DoViewStatisticsChanged|SummaryStatisticsBuilder|ComputeTables_PageNumber|vizqlevaluator|restrict|||||||||||
26|vizqlevaluator|1559.551472100|0.000063200||||||||tabui:record-perf||||RecordPerformanceJob|0.000|0.000|0.000|0.000|5183|14648|13|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.Workspace_DoViewStatisticsChanged.SummaryStatisticsBuilder.ComputeTables_PageNumber.vizqlevaluator|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|Workspace_DoViewStatisticsChanged|SummaryStatisticsBuilder|ComputeTables_PageNumber|vizqlevaluator||||||||||||
27|ComputeTables_PageNumber|1559.551049700|0.000554300||||||||tabui:record-perf||||RecordPerformanceJob|0.000|0.000|0.000|0.000|5183|14648|12|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.Workspace_DoViewStatisticsChanged.SummaryStatisticsBuilder.ComputeTables_PageNumber|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|Workspace_DoViewStatisticsChanged|SummaryStatisticsBuilder|ComputeTables_PageNumber|||||||||||||
28|UnpivotTables|1559.551613800|0.000014400||||||||tabui:record-perf||||RecordPerformanceJob|0.000|0.000|0.000|0.000|5183|14648|12|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.Workspace_DoViewStatisticsChanged.SummaryStatisticsBuilder.UnpivotTables|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|Workspace_DoViewStatisticsChanged|SummaryStatisticsBuilder|UnpivotTables|||||||||||||
29|TablesOuterJoin|1559.551643500|0.000002400||||||||tabui:record-perf||||RecordPerformanceJob|0.000|0.000|0.000|0.000|5183|14648|13|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.Workspace_DoViewStatisticsChanged.SummaryStatisticsBuilder.JoinTables.TablesOuterJoin|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|Workspace_DoViewStatisticsChanged|SummaryStatisticsBuilder|JoinTables|TablesOuterJoin||||||||||||
30|JoinTables|1559.551631900|0.000019500||||||||tabui:record-perf||||RecordPerformanceJob|0.000|0.000|0.000|0.000|5183|14648|12|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.Workspace_DoViewStatisticsChanged.SummaryStatisticsBuilder.JoinTables|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|Workspace_DoViewStatisticsChanged|SummaryStatisticsBuilder|JoinTables|||||||||||||
31|ComputeSummary|1559.551673400|0.000977100||||||||tabui:record-perf||||RecordPerformanceJob|0.000|0.000|0.000|0.000|5183|14648|12|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.Workspace_DoViewStatisticsChanged.SummaryStatisticsBuilder.ComputeSummary|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|Workspace_DoViewStatisticsChanged|SummaryStatisticsBuilder|ComputeSummary|||||||||||||
32|SummaryStatisticsBuilder|1559.550948500|0.001792400||||||||tabui:record-perf||||RecordPerformanceJob|0.001|0.000|0.000|0.000|5183|14648|11|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.Workspace_DoViewStatisticsChanged.SummaryStatisticsBuilder|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|Workspace_DoViewStatisticsChanged|SummaryStatisticsBuilder||||||||||||||
