Start Index|Event Name|Start Time|Elapsed Time|Workbook|Worksheet|Dashboard|DataSource Name|CacheHit|Command|Action Name|Command Name|DataEngine API|Dialog Name|Task Name|Job Name|Processor Time Inclusive|Processor Time Exclusive|User Time Inclusive|User Time Exclusive|ContextId|ThreadID|Depth|Path|Level0|Level1|Level2|Level3|Level4|Level5|Level6|Level7|Level8|Level9|Level10|Level11|Level12|Level13|Level14|Level15|Level16|Level17|Level18|Level19|Session ID|Request ID|URL|XML Size|XML Text
239|WorksheetUtils_GetReferencedDataSources|1569.162749600|0.000023800||||||||tabui:refresh-datasource-ui||||GenericLambdaJob|0.000|0.000|0.000|0.000|5245|14648|15|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager.async-task.task-job.commands-controller.invoke-command.WorksheetUtils_GetReferencedDataSources|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|async-task|task-job|commands-controller|invoke-command|WorksheetUtils_GetReferencedDataSources||||||||||
240|WorksheetUtils_GetReferencedDataSources|1569.162785600|0.000013100||||||||tabui:refresh-datasource-ui||||GenericLambdaJob|0.000|0.000|0.000|0.000|5245|14648|15|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager.async-task.task-job.commands-controller.invoke-command.WorksheetUtils_GetReferencedDataSources|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|async-task|task-job|commands-controller|invoke-command|WorksheetUtils_GetReferencedDataSources||||||||||
241|XercesXMLParser_PrepareParserState|1569.190912500|0.000009000||||||||tabui:refresh-datasource-ui||||GenericLambdaJob|0.000|0.000|0.000|0.000|5247|8312|19|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager.async-task.task-job.commands-controller.invoke-command.Task.async-task.task-tbb.DOMParser_ParseXmlInputSource.XercesXMLParser_PrepareParserState|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|async-task|task-job|commands-controller|invoke-command|Task|async-task|task-tbb|DOMParser_ParseXmlInputSource|XercesXMLParser_PrepareParserState|||||109|"<?xml version='1.0' encoding='utf-8' ?>

<resp proc='2'>
  <notify />
  <proc>ReleaseProtocol</proc>
</resp>
"
242|XercesColonSanitizer|1569.190928100|0.000001900||||||||tabui:refresh-datasource-ui||||GenericLambdaJob|0.000|0.000|0.000|0.000|5247|8312|20|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager.async-task.task-job.commands-controller.invoke-command.Task.async-task.task-tbb.DOMParser_ParseXmlInputSource.XercesXMLParser_DoXercesParse.XercesColonSanitizer|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|async-task|task-job|commands-controller|invoke-command|Task|async-task|task-tbb|DOMParser_ParseXmlInputSource|XercesXMLParser_DoXercesParse|XercesColonSanitizer||||109|"<?xml version='1.0' encoding='utf-8' ?>

<resp proc='2'>
  <notify />
  <proc>ReleaseProtocol</proc>
</resp>
"
243|XercesXMLParser_DoXercesParse|1569.190924200|0.000090900||||||||tabui:refresh-datasource-ui||||GenericLambdaJob|0.000|0.000|0.000|0.000|5247|8312|19|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager.async-task.task-job.commands-controller.invoke-command.Task.async-task.task-tbb.DOMParser_ParseXmlInputSource.XercesXMLParser_DoXercesParse|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|async-task|task-job|commands-controller|invoke-command|Task|async-task|task-tbb|DOMParser_ParseXmlInputSource|XercesXMLParser_DoXercesParse|||||109|"<?xml version='1.0' encoding='utf-8' ?>

<resp proc='2'>
  <notify />
  <proc>ReleaseProtocol</proc>
</resp>
"
244|DOMParser_ParseXmlInputSource|1569.190837300|0.000206300||||||||tabui:refresh-datasource-ui||||GenericLambdaJob|0.000|0.000|0.000|0.000|5247|8312|18|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager.async-task.task-job.commands-controller.invoke-command.Task.async-task.task-tbb.DOMParser_ParseXmlInputSource|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|async-task|task-job|commands-controller|invoke-command|Task|async-task|task-tbb|DOMParser_ParseXmlInputSource||||||109|"<?xml version='1.0' encoding='utf-8' ?>

<resp proc='2'>
  <notify />
  <proc>ReleaseProtocol</proc>
</resp>
"
245|async-task.task-tbb|1569.167900800|0.023206200||||||||tabui:refresh-datasource-ui||||GenericLambdaJob|0.023|0.022|0.000|0.000|5247|8312|17|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager.async-task.task-job.commands-controller.invoke-command.Task.async-task.task-tbb|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|async-task|task-job|commands-controller|invoke-command|Task|async-task|task-tbb||||||||
246|Task|1569.167891500|0.023218700||||||||tabui:refresh-datasource-ui||||GenericLambdaJob|0.023|0.000|0.000|0.000|5247|8312|15|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager.async-task.task-job.commands-controller.invoke-command.Task|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|async-task|task-job|commands-controller|invoke-command|Task||||||||||
247|purge_query_caches|1569.235640200|0.001055900||||||||tabui:refresh-datasource-ui||||GenericLambdaJob|0.001|0.001|0.000|0.000|5245|14648|15|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager.async-task.task-job.commands-controller.invoke-command.purge_query_caches|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|async-task|task-job|commands-controller|invoke-command|purge_query_caches||||||||||
248|XercesXMLParser_PrepareParserState|1569.238262100|0.000008600||||||||tabui:refresh-datasource-ui||||GenericLambdaJob|0.000|0.000|0.000|0.000|5245|14648|17|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager.async-task.task-job.commands-controller.invoke-command.DOMParser_ParseXmlString.DOMParser_ParseXmlInputSource.XercesXMLParser_PrepareParserState|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|async-task|task-job|commands-controller|invoke-command|DOMParser_ParseXmlString|DOMParser_ParseXmlInputSource|XercesXMLParser_PrepareParserState|||||||13048|"<!-- build 20192.19.0515.1630                               -->
<datasource caption='Person (Core.Person) (Core)' inline='true' "
249|XercesColonSanitizer|1569.238277400|0.000006900||||||||tabui:refresh-datasource-ui||||GenericLambdaJob|0.000|0.000|0.000|0.000|5245|14648|18|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager.async-task.task-job.commands-controller.invoke-command.DOMParser_ParseXmlString.DOMParser_ParseXmlInputSource.XercesXMLParser_DoXercesParse.XercesColonSanitizer|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|async-task|task-job|commands-controller|invoke-command|DOMParser_ParseXmlString|DOMParser_ParseXmlInputSource|XercesXMLParser_DoXercesParse|XercesColonSanitizer||||||13048|"<!-- build 20192.19.0515.1630                               -->
<datasource caption='Person (Core.Person) (Core)' inline='true' "
250|XercesXMLParser_DoXercesParse|1569.238273700|0.001131500||||||||tabui:refresh-datasource-ui||||GenericLambdaJob|0.001|0.001|0.000|0.000|5245|14648|17|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager.async-task.task-job.commands-controller.invoke-command.DOMParser_ParseXmlString.DOMParser_ParseXmlInputSource.XercesXMLParser_DoXercesParse|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|async-task|task-job|commands-controller|invoke-command|DOMParser_ParseXmlString|DOMParser_ParseXmlInputSource|XercesXMLParser_DoXercesParse|||||||13048|"<!-- build 20192.19.0515.1630                               -->
<datasource caption='Person (Core.Person) (Core)' inline='true' "
251|DOMParser_ParseXmlInputSource|1569.238205700|0.001248300||||||||tabui:refresh-datasource-ui||||GenericLambdaJob|0.001|0.000|0.000|0.000|5245|14648|16|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager.async-task.task-job.commands-controller.invoke-command.DOMParser_ParseXmlString.DOMParser_ParseXmlInputSource|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|async-task|task-job|commands-controller|invoke-command|DOMParser_ParseXmlString|DOMParser_ParseXmlInputSource||||||||13048|"<!-- build 20192.19.0515.1630                               -->
<datasource caption='Person (Core.Person) (Core)' inline='true' "
252|DOMParser_ParseXmlString|1569.238133500|0.001323300||||||||tabui:refresh-datasource-ui||||GenericLambdaJob|0.001|0.000|0.000|0.000|5245|14648|15|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager.async-task.task-job.commands-controller.invoke-command.DOMParser_ParseXmlString|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|async-task|task-job|commands-controller|invoke-command|DOMParser_ParseXmlString|||||||||13048|
253|XercesXMLParser_PrepareParserState|1569.243630300|0.000007900||||||||tabui:refresh-datasource-ui||||GenericLambdaJob|0.000|0.000|0.000|0.000|5245|14648|19|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager.async-task.task-job.commands-controller.invoke-command.ds-parser.parse.DOMParser_ParseXmlString.DOMParser_ParseXmlInputSource.XercesXMLParser_PrepareParserState|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|async-task|task-job|commands-controller|invoke-command|ds-parser|parse|DOMParser_ParseXmlString|DOMParser_ParseXmlInputSource|XercesXMLParser_PrepareParserState|||||623|<connection :locale='1024' caption='Person (Core.Person) (Core)' class='federated' name='federated.17p07xa0zjgoz51c83ll51dl8xir'
254|XercesColonSanitizer|1569.243644100|0.000009400||||||||tabui:refresh-datasource-ui||||GenericLambdaJob|0.000|0.000|0.000|0.000|5245|14648|20|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager.async-task.task-job.commands-controller.invoke-command.ds-parser.parse.DOMParser_ParseXmlString.DOMParser_ParseXmlInputSource.XercesXMLParser_DoXercesParse.XercesColonSanitizer|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|async-task|task-job|commands-controller|invoke-command|ds-parser|parse|DOMParser_ParseXmlString|DOMParser_ParseXmlInputSource|XercesXMLParser_DoXercesParse|XercesColonSanitizer||||623|<connection :locale='1024' caption='Person (Core.Person) (Core)' class='federated' name='federated.17p07xa0zjgoz51c83ll51dl8xir'
255|XercesXMLParser_DoXercesParse|1569.243641000|0.000139200||||||||tabui:refresh-datasource-ui||||GenericLambdaJob|0.000|0.000|0.000|0.000|5245|14648|19|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager.async-task.task-job.commands-controller.invoke-command.ds-parser.parse.DOMParser_ParseXmlString.DOMParser_ParseXmlInputSource.XercesXMLParser_DoXercesParse|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|async-task|task-job|commands-controller|invoke-command|ds-parser|parse|DOMParser_ParseXmlString|DOMParser_ParseXmlInputSource|XercesXMLParser_DoXercesParse|||||623|<connection :locale='1024' caption='Person (Core.Person) (Core)' class='federated' name='federated.17p07xa0zjgoz51c83ll51dl8xir'
256|DOMParser_ParseXmlInputSource|1569.243583900|0.000227400||||||||tabui:refresh-datasource-ui||||GenericLambdaJob|0.000|0.000|0.000|0.000|5245|14648|18|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager.async-task.task-job.commands-controller.invoke-command.ds-parser.parse.DOMParser_ParseXmlString.DOMParser_ParseXmlInputSource|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|async-task|task-job|commands-controller|invoke-command|ds-parser|parse|DOMParser_ParseXmlString|DOMParser_ParseXmlInputSource||||||623|<connection :locale='1024' caption='Person (Core.Person) (Core)' class='federated' name='federated.17p07xa0zjgoz51c83ll51dl8xir'
257|DOMParser_ParseXmlString|1569.243570500|0.000242800||||||||tabui:refresh-datasource-ui||||GenericLambdaJob|0.000|0.000|0.000|0.000|5245|14648|17|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager.async-task.task-job.commands-controller.invoke-command.ds-parser.parse.DOMParser_ParseXmlString|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|async-task|task-job|commands-controller|invoke-command|ds-parser|parse|DOMParser_ParseXmlString|||||||623|
258|XercesXMLParser_PrepareParserState|1569.244181500|0.000007600||||Person (Core.Person) (Core)||||tabui:refresh-datasource-ui||||GenericLambdaJob|0.000|0.000|0.000|0.000|5245|14648|21|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager.async-task.task-job.commands-controller.invoke-command.ds-parser.parse.ds.parser-connect.DOMParser_ParseXmlString.DOMParser_ParseXmlInputSource.XercesXMLParser_PrepareParserState|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|async-task|task-job|commands-controller|invoke-command|ds-parser|parse|ds|parser-connect|DOMParser_ParseXmlString|DOMParser_ParseXmlInputSource||||623|<connection :locale='1024' caption='Person (Core.Person) (Core)' class='federated' name='federated.17p07xa0zjgoz51c83ll51dl8xir'
259|XercesColonSanitizer|1569.244194300|0.000006900||||Person (Core.Person) (Core)||||tabui:refresh-datasource-ui||||GenericLambdaJob|0.000|0.000|0.000|0.000|5245|14648|22|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager.async-task.task-job.commands-controller.invoke-command.ds-parser.parse.ds.parser-connect.DOMParser_ParseXmlString.DOMParser_ParseXmlInputSource.XercesXMLParser_DoXercesParse.XercesColonSanitizer|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|async-task|task-job|commands-controller|invoke-command|ds-parser|parse|ds|parser-connect|DOMParser_ParseXmlString|DOMParser_ParseXmlInputSource||||623|<connection :locale='1024' caption='Person (Core.Person) (Core)' class='federated' name='federated.17p07xa0zjgoz51c83ll51dl8xir'
260|XercesXMLParser_DoXercesParse|1569.244191800|0.000113400||||Person (Core.Person) (Core)||||tabui:refresh-datasource-ui||||GenericLambdaJob|0.000|0.000|0.000|0.000|5245|14648|21|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager.async-task.task-job.commands-controller.invoke-command.ds-parser.parse.ds.parser-connect.DOMParser_ParseXmlString.DOMParser_ParseXmlInputSource.XercesXMLParser_DoXercesParse|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|async-task|task-job|commands-controller|invoke-command|ds-parser|parse|ds|parser-connect|DOMParser_ParseXmlString|DOMParser_ParseXmlInputSource||||623|<connection :locale='1024' caption='Person (Core.Person) (Core)' class='federated' name='federated.17p07xa0zjgoz51c83ll51dl8xir'
261|DOMParser_ParseXmlInputSource|1569.244144000|0.000189700||||Person (Core.Person) (Core)||||tabui:refresh-datasource-ui||||GenericLambdaJob|0.000|0.000|0.000|0.000|5245|14648|20|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager.async-task.task-job.commands-controller.invoke-command.ds-parser.parse.ds.parser-connect.DOMParser_ParseXmlString.DOMParser_ParseXmlInputSource|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|async-task|task-job|commands-controller|invoke-command|ds-parser|parse|ds|parser-connect|DOMParser_ParseXmlString|DOMParser_ParseXmlInputSource||||623|<connection :locale='1024' caption='Person (Core.Person) (Core)' class='federated' name='federated.17p07xa0zjgoz51c83ll51dl8xir'
262|DOMParser_ParseXmlString|1569.244133000|0.000202700||||Person (Core.Person) (Core)||||tabui:refresh-datasource-ui||||GenericLambdaJob|0.000|0.000|0.000|0.000|5245|14648|19|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager.async-task.task-job.commands-controller.invoke-command.ds-parser.parse.ds.parser-connect.DOMParser_ParseXmlString|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|async-task|task-job|commands-controller|invoke-command|ds-parser|parse|ds|parser-connect|DOMParser_ParseXmlString|||||623|
263|XercesXMLParser_PrepareParserState|1569.244687000|0.000007700||||Person (Core.Person) (Core)||||tabui:refresh-datasource-ui||||GenericLambdaJob|0.000|0.000|0.000|0.000|5245|14648|23|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager.async-task.task-job.commands-controller.invoke-command.ds-parser.parse.ds.parser-connect.ds.connect.DOMParser_ParseXmlString.DOMParser_ParseXmlInputSource.XercesXMLParser_PrepareParserState|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|async-task|task-job|commands-controller|invoke-command|ds-parser|parse|ds|parser-connect|ds|connect||||623|<connection :locale='1024' caption='Person (Core.Person) (Core)' class='federated' name='federated.17p07xa0zjgoz51c83ll51dl8xir'
264|XercesColonSanitizer|1569.244699800|0.000006500||||Person (Core.Person) (Core)||||tabui:refresh-datasource-ui||||GenericLambdaJob|0.000|0.000|0.000|0.000|5245|14648|24|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager.async-task.task-job.commands-controller.invoke-command.ds-parser.parse.ds.parser-connect.ds.connect.DOMParser_ParseXmlString.DOMParser_ParseXmlInputSource.XercesXMLParser_DoXercesParse.XercesColonSanitizer|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|async-task|task-job|commands-controller|invoke-command|ds-parser|parse|ds|parser-connect|ds|connect||||623|<connection :locale='1024' caption='Person (Core.Person) (Core)' class='federated' name='federated.17p07xa0zjgoz51c83ll51dl8xir'
265|XercesXMLParser_DoXercesParse|1569.244697300|0.000111500||||Person (Core.Person) (Core)||||tabui:refresh-datasource-ui||||GenericLambdaJob|0.000|0.000|0.000|0.000|5245|14648|23|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager.async-task.task-job.commands-controller.invoke-command.ds-parser.parse.ds.parser-connect.ds.connect.DOMParser_ParseXmlString.DOMParser_ParseXmlInputSource.XercesXMLParser_DoXercesParse|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|async-task|task-job|commands-controller|invoke-command|ds-parser|parse|ds|parser-connect|ds|connect||||623|<connection :locale='1024' caption='Person (Core.Person) (Core)' class='federated' name='federated.17p07xa0zjgoz51c83ll51dl8xir'
266|DOMParser_ParseXmlInputSource|1569.244647300|0.000189800||||Person (Core.Person) (Core)||||tabui:refresh-datasource-ui||||GenericLambdaJob|0.000|0.000|0.000|0.000|5245|14648|22|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager.async-task.task-job.commands-controller.invoke-command.ds-parser.parse.ds.parser-connect.ds.connect.DOMParser_ParseXmlString.DOMParser_ParseXmlInputSource|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|async-task|task-job|commands-controller|invoke-command|ds-parser|parse|ds|parser-connect|ds|connect||||623|<connection :locale='1024' caption='Person (Core.Person) (Core)' class='federated' name='federated.17p07xa0zjgoz51c83ll51dl8xir'
267|DOMParser_ParseXmlString|1569.244638300|0.000200500||||Person (Core.Person) (Core)||||tabui:refresh-datasource-ui||||GenericLambdaJob|0.000|0.000|0.000|0.000|5245|14648|21|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager.async-task.task-job.commands-controller.invoke-command.ds-parser.parse.ds.parser-connect.ds.connect.DOMParser_ParseXmlString|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|async-task|task-job|commands-controller|invoke-command|ds-parser|parse|ds|parser-connect|ds|connect||||623|
268|increment_cache_clock|1569.245823900|0.000060500||||Person (Core.Person) (Core)||||tabui:refresh-datasource-ui|||Connecting to data source|GenericLambdaJob|0.000|0.000|0.000|0.000|5251|4784|34|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager.async-task.task-job.commands-controller.invoke-command.ds-parser.parse.ds.parser-connect.ds.connect.ds.connect-data-connection.ProgressReporter.ProgressReporter.Task.async-task.task-tbb.ProgressReporter.ProgressReporter.Task.async-task.task-tbb.DataConnection_connect.increment_cache_clock|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|async-task|task-job|commands-controller|invoke-command|ds-parser|parse|ds|parser-connect|ds|connect|||||
269|increment_cache_clock_async|1569.245978800|0.000031700||||Person (Core.Person) (Core)||||tabui:refresh-datasource-ui|||Connecting to data source|GenericLambdaJob|0.000|0.000|0.000|0.000|5253|15252|38|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager.async-task.task-job.commands-controller.invoke-command.ds-parser.parse.ds.parser-connect.ds.connect.ds.connect-data-connection.ProgressReporter.ProgressReporter.Task.async-task.task-tbb.ProgressReporter.ProgressReporter.Task.async-task.task-tbb.DataConnection_connect.increment_cache_clock.Task.async-task.task-tbb.increment_cache_clock_async|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|async-task|task-job|commands-controller|invoke-command|ds-parser|parse|ds|parser-connect|ds|connect|||||
270|async-task.task-tbb|1569.245960200|0.000074300||||Person (Core.Person) (Core)||||tabui:refresh-datasource-ui|||Connecting to data source|GenericLambdaJob|0.000|0.000|0.000|0.000|5253|15252|37|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager.async-task.task-job.commands-controller.invoke-command.ds-parser.parse.ds.parser-connect.ds.connect.ds.connect-data-connection.ProgressReporter.ProgressReporter.Task.async-task.task-tbb.ProgressReporter.ProgressReporter.Task.async-task.task-tbb.DataConnection_connect.increment_cache_clock.Task.async-task.task-tbb|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|async-task|task-job|commands-controller|invoke-command|ds-parser|parse|ds|parser-connect|ds|connect|||||
271|Task|1569.245953800|0.000090000||||Person (Core.Person) (Core)||||tabui:refresh-datasource-ui|||Connecting to data source|GenericLambdaJob|0.000|0.000|0.000|0.000|5253|15252|35|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager.async-task.task-job.commands-controller.invoke-command.ds-parser.parse.ds.parser-connect.ds.connect.ds.connect-data-connection.ProgressReporter.ProgressReporter.Task.async-task.task-tbb.ProgressReporter.ProgressReporter.Task.async-task.task-tbb.DataConnection_connect.increment_cache_clock.Task|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|async-task|task-job|commands-controller|invoke-command|ds-parser|parse|ds|parser-connect|ds|connect|||||
272|XercesXMLParser_PrepareParserState|1569.520432800|0.000008700||||Person (Core.Person) (Core)||||tabui:refresh-datasource-ui|||Connecting to data source|GenericLambdaJob|0.000|0.000|0.000|0.000|5251|4784|39|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager.async-task.task-job.commands-controller.invoke-command.ds-parser.parse.ds.parser-connect.ds.connect.ds.connect-data-connection.ProgressReporter.ProgressReporter.Task.async-task.task-tbb.ProgressReporter.ProgressReporter.Task.async-task.task-tbb.DataConnection_connect.Protocol_ConstructProtocol.protocol.create-protocol.ExternalProtocol_Proxy_Construct.DOMParser_ParseXmlInputSource.XercesXMLParser_PrepareParserState|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|async-task|task-job|commands-controller|invoke-command|ds-parser|parse|ds|parser-connect|ds|connect||||147|"<?xml version='1.0' encoding='utf-8' ?>

<resp proc='0'>
  <log>C:\Users\Misbah\Documents\My Tableau Repository\Logs\tabprotosrv"
273|XercesColonSanitizer|1569.520448100|0.000002600||||Person (Core.Person) (Core)||||tabui:refresh-datasource-ui|||Connecting to data source|GenericLambdaJob|0.000|0.000|0.000|0.000|5251|4784|40|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager.async-task.task-job.commands-controller.invoke-command.ds-parser.parse.ds.parser-connect.ds.connect.ds.connect-data-connection.ProgressReporter.ProgressReporter.Task.async-task.task-tbb.ProgressReporter.ProgressReporter.Task.async-task.task-tbb.DataConnection_connect.Protocol_ConstructProtocol.protocol.create-protocol.ExternalProtocol_Proxy_Construct.DOMParser_ParseXmlInputSource.XercesXMLParser_DoXercesParse.XercesColonSanitizer|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|async-task|task-job|commands-controller|invoke-command|ds-parser|parse|ds|parser-connect|ds|connect||||147|"<?xml version='1.0' encoding='utf-8' ?>

<resp proc='0'>
  <log>C:\Users\Misbah\Documents\My Tableau Repository\Logs\tabprotosrv"
274|XercesXMLParser_DoXercesParse|1569.520444500|0.000087700||||Person (Core.Person) (Core)||||tabui:refresh-datasource-ui|||Connecting to data source|GenericLambdaJob|0.000|0.000|0.000|0.000|5251|4784|39|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager.async-task.task-job.commands-controller.invoke-command.ds-parser.parse.ds.parser-connect.ds.connect.ds.connect-data-connection.ProgressReporter.ProgressReporter.Task.async-task.task-tbb.ProgressReporter.ProgressReporter.Task.async-task.task-tbb.DataConnection_connect.Protocol_ConstructProtocol.protocol.create-protocol.ExternalProtocol_Proxy_Construct.DOMParser_ParseXmlInputSource.XercesXMLParser_DoXercesParse|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|async-task|task-job|commands-controller|invoke-command|ds-parser|parse|ds|parser-connect|ds|connect||||147|"<?xml version='1.0' encoding='utf-8' ?>

<resp proc='0'>
  <log>C:\Users\Misbah\Documents\My Tableau Repository\Logs\tabprotosrv"
275|DOMParser_ParseXmlInputSource|1569.520361700|0.000212700||||Person (Core.Person) (Core)||||tabui:refresh-datasource-ui|||Connecting to data source|GenericLambdaJob|0.000|0.000|0.000|0.000|5251|4784|38|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager.async-task.task-job.commands-controller.invoke-command.ds-parser.parse.ds.parser-connect.ds.connect.ds.connect-data-connection.ProgressReporter.ProgressReporter.Task.async-task.task-tbb.ProgressReporter.ProgressReporter.Task.async-task.task-tbb.DataConnection_connect.Protocol_ConstructProtocol.protocol.create-protocol.ExternalProtocol_Proxy_Construct.DOMParser_ParseXmlInputSource|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|async-task|task-job|commands-controller|invoke-command|ds-parser|parse|ds|parser-connect|ds|connect||||147|"<?xml version='1.0' encoding='utf-8' ?>

<resp proc='0'>
  <log>C:\Users\Misbah\Documents\My Tableau Repository\Logs\tabprotosrv"
